0,1,2,3,4,5,6,7,8,9
1monty91,UCmr9RZQiHZ9Ls1-chTEOTrQ,169.0,913591,8,3,True,2008-05-23,,2019-03-01
1nemind,UCgkoN5fod5z7lhFDdHrt30Q,22100.0,2271714,124,1,True,2007-08-04,,2020-05-30
1stageofawareness,UCnaFR6x5IAEDmjZntD5icHA,9880.0,1646783,418,0,True,2009-07-18,,2021-05-04
1TheRevolutionIsNow,UCOvKxZDSBL4X1-50Jw6HJLA,4425.0,2779295,179,1,True,2011-04-14,,2019-03-01
1TruPatriot,UCnUOom6PbC154xTjZveGLgQ,1495.0,399021,41,1,True,2010-09-25,,2019-03-01
1Truth4Life,UCZ1TlFC-nUFyNQ5dsm65VRg,1350.0,175440,16,1,True,2015-04-15,,2020-02-16
2011asPIrin,UCp7uyqXzKQ9K-VVLzivkeyw,13.0,10738,8,1,False,2011-09-28,2021-06-05,2019-03-01
2019,UCDgbhi3QYlL4qO4knH7SZnA,8041.0,1471168,282,1,False,2017-09-05,2019-09-28,2019-03-01
2040whiteminority,UCypKaN51UG5MhImL4tntiHg,135.0,38976,4,0,True,2009-05-23,,2021-03-28
2120060a,UCof5wVwGhxTj4VP53lMLa2A,269.0,183353,45,45,False,2011-08-07,2020-04-17,2019-03-01
21centurydragonslayer,UCyARPyc62rQ_7T21No_U_zA,69.0,8567,2,1,True,2014-07-06,,2019-10-22
21stcenturycrusade,UCGC9pQ_yZJz07iQHRZ_aCZA,112.0,72688,10,0,True,2013-08-17,,2020-11-23
21stCenturyWireTV,UCY_sGiAswJNo8HQBOKme01g,5353.0,612780,268,0,True,2009-12-07,,2019-03-01
23580578 ameen noor,UCXvZhzIkO__SCUvkO2pJ_7A,1722.0,2586257,6,0,False,2007-08-26,,2019-03-01
23lumpkins,UC1gS69XRu_PjGx5wLMkEdWg,18.0,14878,11,0,False,2011-12-30,,2020-02-19
24moskito,UCPnz_TB2zM0uWqb8PZI4_zw,207.0,222414,50,3,False,2011-10-17,2019-06-05,2019-03-01
27mikemorrison,UCKktp7K5WR0jXRrCJZt_Gvg,844.0,5265757,47,1,True,2010-06-30,,2019-03-01
2A Cops - Cops Supporting Gun Rights,UC1WpYsJPimqoa9PKhiIGoEg,736.0,41835,26,1,True,2019-10-12,,2021-02-24
2birdsswimming,UC_-SwY3KSOppxz68HL-WM4Q,1280.0,3090218,66,0,True,2007-09-21,,2021-02-02
2Chime,UCkhFEiz1rcGioVeGwl4ZKXQ,35.0,1470,26,0,True,2017-11-12,,2020-01-28
2Kevins with Grace & Steel,UCDJYqov9MdQ3v9_SrGreXrA,648.0,83402,82,0,True,2015-08-27,,2021-07-27
